#{"t_start": 1778540287.4289503, "env_id": "None"}
r,l,t
279.78,22,77.179065
-75.15,77,77.315611
250.71,27,77.371129
309.99,3,77.382429
297.15,7,77.396454
294.69,25,77.449504
-1136.12,200,77.791638
323.31,7,77.802635
222.25,49,77.877157
277.89,13,77.903157
-498.36,140,78.126239
346.62,14,78.15376
313.71,15,78.18176
202.11,39,78.246784
323.31,7,78.261296
316.65,5,78.268294
207.87,31,78.323316
334.29,13,78.349307
-1329.68,200,78.833359
280.68,28,78.878135
249.27,31,78.928143
-1497.92,200,79.283509
31.12,48,79.367183
-85.74,78,79.499234
306.66,2,79.501233
333.54,14,79.533594
310.98,6,79.54823
303.81,9,79.569163
-1309.12,200,79.915119
237.01,41,79.994995
167.42,50,80.080738
92.46,46,80.159249
167.25,45,80.227216
-1394.52,200,80.584481
35.45,57,80.685368
284.97,13,80.709874
-1304.6,200,81.052229
299.73,9,81.080919
-49.65,75,81.211113
298.49,5,81.223825
316.65,5,81.230833
-700.86,186,81.5688
307.29,17,81.595801
286.8,16,81.618803
306.9,6,81.627815
277.98,10,81.657589
326.64,8,81.673588
316.65,5,81.681587
287.79,15,81.72559
315.89,9,81.755109
1.35,59,81.869647
303.57,5,81.878642
303.48,8,81.892545
-129.23,141,82.159645
317.64,8,82.219632
284.22,14,82.336153
-1469.24,200,82.683945
269.65,13,82.710299
268.77,29,82.752311
-73.23,73,82.869359
74.65,85,83.009942
-27.12,80,83.164826
-116.99,137,83.418042
33.39,39,83.489912
309.99,3,83.492912
302.09,33,83.560038
293.97,13,83.585975
115.06,30,83.642606
304.32,4,83.650751
222.43,39,83.72693
232.11,27,83.775327
299.39,11,83.793326
310.2,20,83.823326
-17.14,74,83.952038
289.02,26,84.009818
267.2,24,84.056351
188.54,42,84.13517
304.56,8,84.152688
169.12,64,84.256748
310.14,10,84.276755
293.49,5,84.285756
252.59,39,84.358282
-1544.72,200,84.71882
191.37,29,84.769347
310.23,7,84.786347
287.97,13,84.814753
-1437.76,200,85.293732
124.67,55,85.380247
319.98,6,85.389253
311.47,15,85.419246
-1209.2,200,85.803298
308.79,15,85.848285
93.27,43,85.920799
275.4,12,85.94804
176.61,65,86.06306
-181.05,79,86.194885
-567.12,172,86.496284
140.85,69,86.637083
300.15,7,86.645091
316.65,5,86.667794
298.36,28,86.720757
-357.57,115,86.912886
287.13,17,86.945636
-291.5,134,87.170907
-944.76,188,87.468931
249.6,28,87.525891
-97.72,124,87.720209
304.32,4,87.72721
275.79,19,87.76016
283.74,6,87.772673
297.6,28,87.82499
329.97,9,87.843789
200.55,55,87.940099
206.88,28,87.999776
156.6,44,88.086412
304.32,4,88.094905
281.46,18,88.123868
323.55,11,88.145879
-1494.4,200,88.47266
311.57,5,88.479667
-22.81,95,88.634212
-263.69,179,88.954182
315.78,18,88.983707
224.22,18,89.007716
-139.59,85,89.142221
206.7,30,89.193753
-348.34,146,89.453569
326.64,8,89.469687
312.21,13,89.494686
337.86,18,89.534712
-571.31,161,89.897099
294.81,9,89.908098
192.0,48,89.984563
240.84,32,90.040582
-27.33,63,90.156658
-308.04,132,90.376335
-36.84,76,90.557693
-62.67,81,90.695506
252.81,13,90.72023
309.99,3,90.727231
287.64,12,90.749261
309.99,3,90.75924
259.64,48,90.853128
295.97,21,90.890645
18.27,55,90.986511
292.07,7,91.00058
324.3,10,91.01758
-84.72,64,91.12856
283.31,11,91.150084
295.71,15,91.180943
-502.94,134,91.416918
319.98,6,91.42698
314.31,7,91.439981
-179.73,87,91.584104
-274.92,108,91.756655
290.64,12,91.780625
-479.58,126,92.014948
193.5,46,92.09677
-18.42,66,92.203289
307.65,5,92.215286
327.63,11,92.231286
301.23,7,92.250296
162.17,45,92.341875
-201.34,94,92.616826
74.85,49,92.70538
-1619.36,200,93.046992
319.13,21,93.084563
-1413.8,200,93.409496
314.46,14,93.437186
282.87,19,93.497703
-1311.16,200,93.85162
-1005.84,200,94.318037
-251.84,108,94.593053
280.11,27,94.639047
54.57,81,94.772171
-767.72,200,95.156015
-65.52,76,95.342076
-212.7,74,95.594629
319.98,6,95.607632
316.65,5,95.615646
291.45,21,95.650635
313.32,4,95.66365
288.96,20,95.694183
337.62,14,95.729183
300.15,7,95.74018
-922.32,168,96.050502
307.89,9,96.073015
333.54,14,96.096012
-1550.72,200,96.444645
296.79,15,96.475192
245.13,21,96.525174
304.32,4,96.53317
329.97,9,96.547171
287.07,7,96.566724
-461.1,158,96.879836
-461.55,129,97.093882
-1393.28,200,97.502544
281.07,7,97.522546
-1673.12,200,97.877609
90.87,39,97.935614
291.48,8,97.95063
282.54,18,97.99014
300.24,4,97.995161
63.51,51,98.117682
278.13,17,98.144717
-831.73,179,98.609781
-81.72,56,98.728529
316.65,5,98.741052
306.66,2,98.74405
-1201.48,200,99.099114
302.13,13,99.130112
321.21,13,99.160132
-754.5,138,99.437045
-222.26,86,99.619514
-2.47,57,99.732585
319.98,6,99.74753
59.1,54,99.84362
94.35,47,99.936173
309.51,23,99.981686
169.53,45,100.056685
277.23,11,100.074202
305.38,14,100.101212
-60.06,70,100.213743
-368.4,100,100.379983
23.22,38,100.460002
-26.55,69,100.642675
68.28,52,100.737433
307.89,9,100.756552
195.72,24,100.797907
-1749.2,200,101.145513
-753.6,200,101.563905
313.47,11,101.579079
313.47,11,101.611073
-1379.0,200,102.156621
307.65,5,102.16262
-1651.88,200,102.563819
-676.96,200,103.022417
306.81,9,103.051744
313.32,4,103.060745
328.46,14,103.08027
303.33,1,103.081272
307.8,12,103.108261
-20.07,61,103.235039
150.08,44,103.303559
164.6,76,103.454221
319.98,6,103.46924
-1467.64,200,103.836493
-849.52,164,104.134212
-725.44,200,104.565692
-190.05,67,104.690576
75.34,58,104.861117
229.7,38,104.951768
306.66,2,104.953768
-1241.64,200,105.283944
67.84,76,105.425657
-1763.48,200,105.852936
182.46,30,105.904458
-236.38,78,106.048138
-510.15,109,106.236018
317.64,8,106.249629
-1270.04,200,106.599289
310.23,7,106.614408
318.63,11,106.633887
33.29,45,106.706236
301.2,20,106.737231
294.48,8,106.757849
-220.81,127,106.982987
304.32,4,106.988987
310.47,11,107.016077
333.54,14,107.043864
186.96,32,107.106631
173.28,36,107.170227
308.24,4,107.17575
20.52,52,107.272588
318.36,20,107.304115
269.55,15,107.337111
240.27,31,107.40364
5.28,48,107.533136
-403.26,114,107.864934
-951.2,188,108.238682
