#{"t_start": 1778332086.155168, "env_id": "None"}
r,l,t
302.3,2,89.640406
308.05,7,89.64498
312.1,14,89.657541
298.2,10,89.66716
302.05,18,89.682519
280.0,15,89.699277
257.45,22,89.720351
313.8,12,89.733029
284.35,13,89.744908
304.9,17,89.763097
269.95,19,89.783318
299.05,20,89.801564
287.65,24,89.823005
282.45,24,89.843171
297.65,13,89.857191
304.6,4,89.861972
302.55,8,89.870597
305.2,8,89.878162
269.8,20,89.898544
308.3,13,89.910444
311.75,16,89.92563
276.45,20,89.946075
301.65,13,89.961032
254.25,48,90.006316
117.55,53,90.06204
282.65,30,90.089602
-1009.1,250,90.329558
301.15,1,90.331478
297.1,16,90.348954
256.3,21,90.372105
304.6,4,90.374697
306.35,9,90.383131
263.6,10,90.392513
312.7,18,90.409191
285.25,8,90.416198
314.95,13,90.428255
284.9,10,90.439484
309.2,8,90.445484
259.5,18,90.463392
-1080.95,250,90.712441
304.05,7,90.721468
302.3,2,90.72498
304.6,4,90.728055
296.65,4,90.732056
263.8,31,91.722372
301.55,21,91.740468
310.15,25,91.767108
299.05,20,91.791306
302.3,2,91.793302
310.35,9,91.801814
307.75,16,91.818693
294.75,7,91.827303
301.15,1,91.828778
302.9,6,91.833793
269.5,30,91.859562
300.5,12,91.872711
-1063.5,250,92.122929
301.75,5,92.129274
302.45,16,92.152975
309.45,14,92.165569
308.05,7,92.173296
312.7,18,92.188377
306.35,9,92.194993
310.35,9,92.203712
245.1,24,92.225426
-1002.3,250,92.474908
301.65,13,92.491727
302.9,6,92.497096
304.9,17,92.513179
306.35,9,92.521302
308.05,7,92.52738
299.4,18,92.545515
305.2,8,92.553709
306.35,9,92.562295
-106.6,141,92.710386
306.4,16,92.727159
197.45,54,92.789324
289.6,28,92.814634
309.2,8,92.827938
308.0,22,92.8548
278.9,21,92.872956
305.25,15,92.888042
-1044.95,250,93.122559
266.75,22,93.142509
280.55,12,93.15671
288.75,18,93.176045
289.9,19,93.194779
308.1,14,93.207982
310.35,9,93.217294
313.8,12,93.227897
310.35,9,93.235447
300.9,17,93.249533
303.45,3,93.252579
301.15,1,93.253573
306.35,9,93.259655
113.1,56,93.315505
302.3,2,93.320124
291.85,23,93.343268
306.6,15,93.358725
299.35,11,93.371005
303.45,3,93.37462
310.85,21,93.395927
286.75,7,93.401938
309.25,15,93.416264
306.35,9,93.427665
306.9,6,93.434681
305.45,14,93.444705
302.8,14,93.4567
276.35,13,93.470534
308.05,7,93.477564
303.45,3,93.479565
290.65,15,93.495227
295.35,11,93.506602
312.35,20,93.524709
304.9,17,93.539162
305.7,20,93.560243
304.65,11,93.570863
275.75,9,93.578809
312.1,14,93.593838
