time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/episode_reward_ma100,time/total_timesteps,time/time_elapsed,train/value_loss,train/explained_variance,train/entropy_loss,train/approx_kl,train/learning_rate,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/loss,eval/mean_ep_length,eval/mean_reward
66,88.55,-167.4425,560,-167.4425,135168,241,0.0953025919618085,0.46689003705978394,-0.8390992229804397,0.017103456,0.0003,650,0.1748046875,-0.018919486251979832,0.2,-0.0058152936398983,,
67,82.23,-146.05200000000002,560,-146.05200000000002,137216,244,0.07579698457266204,0.31752997636795044,-0.7033610619604588,0.016510237,0.0003,660,0.14111328125,-0.014213791447400582,0.2,-0.011409707367420197,,
,,,,-114.99799999999999,139264,,0.05377911560353823,0.24786376953125,-0.8575420148670674,0.013520323,0.0003,670,0.165380859375,-0.01341904345608782,0.2,-0.029812121763825417,83.4,-264.62
68,74.34,-114.99799999999999,559,,139264,248,,,,,,,,,,,,
69,82.86,-150.3325,559,-150.3325,141312,252,0.08063521836302243,0.16697055101394653,-0.8330400716513395,0.014942164,0.0003,680,0.17587890625,-0.018227642074634787,0.2,-0.017368216067552567,,
70,80.24,-138.31,559,-138.31,143360,256,0.06215929705649614,0.1401624083518982,-0.6870274251326919,0.015092916,0.0003,690,0.13837890625,-0.01558698010048829,0.2,-0.0018437951803207397,,
71,79.94,-136.81849999999997,559,-136.81849999999997,145408,259,0.09079888777341694,0.45973044633865356,-0.7683121120557189,0.020251662,0.0003,700,0.19560546875,-0.01645730823802296,0.2,0.02940148487687111,,
,,,,-143.8195,147456,,0.07623274808574934,0.43241024017333984,-0.7402303114533424,0.0154936975,0.0003,710,0.171630859375,-0.015830877107509876,0.2,0.022046182304620743,122.0,-450.1
72,80.38,-143.8195,559,,147456,263,,,,,,,,,,,,
73,78.53,-139.1825,559,-139.1825,149504,267,0.0698846018902259,0.45752817392349243,-0.6601076859980821,0.012706233,0.0003,720,0.124755859375,-0.016458581409824546,0.2,-0.02211565524339676,,
74,82.96,-158.03249999999997,559,-158.03249999999997,151552,271,0.06100072533008642,0.5636149048805237,-0.7113228030502796,0.020734213,0.0003,730,0.205712890625,-0.019914627671823837,0.2,-0.031973760575056076,,
75,86.56,-176.325,559,-176.325,153600,274,0.06470647531677969,-0.16182756423950195,-0.6581719424575567,0.014903992,0.0003,740,0.1248046875,-0.011623427337326575,0.2,0.0468156524002552,,
,,,,-168.515,155648,,0.060411236830987036,0.3014046549797058,-0.6451325027272106,0.015369611,0.0003,750,0.1572265625,-0.015774973422230686,0.2,0.03149517998099327,200.0,-819.24
76,86.5,-168.515,558,,155648,278,,,,,,,,,,,,
77,90.19,-178.84600000000003,559,-178.84600000000003,157696,282,0.06579019015771337,0.34461140632629395,-0.7790218777954578,0.015968025,0.0003,760,0.15439453125,-0.013852723335730843,0.2,-0.005632350221276283,,
78,83.8,-155.321,559,-155.321,159744,285,0.05323902422678657,0.22475147247314453,-0.7419496791437268,0.014335654,0.0003,770,0.132568359375,-0.014469488512258977,0.2,-0.009591136127710342,,
79,85.38,-168.40849999999995,560,-168.40849999999995,161792,288,0.06304607306374237,0.5124120712280273,-0.7232393402606249,0.014240768,0.0003,780,0.15048828125,-0.01662288430816261,0.2,0.01190447062253952,,
,,,,-131.8505,163840,,0.0431235276744701,0.5846085548400879,-0.572400726005435,0.0118670305,0.0003,790,0.10693359375,-0.00849519839102868,0.2,-0.010091135278344154,161.2,-635.78
80,74.86,-131.8505,560,,163840,292,,,,,,,,,,,,
81,77.36,-137.52200000000002,560,-137.52200000000002,165888,295,0.08345155898132361,0.26780301332473755,-0.7760571375489235,0.018762514,0.0003,800,0.1875,-0.01985040720028337,0.2,-0.01741401106119156,,
82,71.87,-107.10650000000001,560,-107.10650000000001,167936,299,0.0724907239258755,0.5125449895858765,-0.8744743671268225,0.017728195,0.0003,810,0.2193359375,-0.01621790349308867,0.2,-0.010428745299577713,,
83,73.64,-114.80899999999998,560,-114.80899999999998,169984,303,0.09488939689472317,0.21246135234832764,-0.8190825935453176,0.017171975,0.0003,820,0.17294921875,-0.014992279480793513,0.2,0.0021726004779338837,,
,,,,-130.85649999999998,172032,,0.06578953980351798,0.42403167486190796,-0.6738618709146976,0.015890412,0.0003,830,0.129833984375,-0.015538539172848687,0.2,-0.001105116680264473,200.0,-805.45
84,78.02,-130.85649999999998,559,,172032,307,,,,,,,,,,,,
85,78.93,-139.679,559,-139.679,174080,310,0.04302987049159128,0.6019569039344788,-0.8327562479302287,0.023123981,0.0003,840,0.221630859375,-0.019108569773379713,0.2,-0.048570115119218826,,
86,85.41,-166.5755,560,-166.5755,176128,314,0.045222628745250404,0.46192479133605957,-0.7871417144313455,0.017983003,0.0003,850,0.191796875,-0.015980976984428706,0.2,0.000349448062479496,,
87,82.82,-160.773,559,-160.773,178176,318,0.05145853330031969,0.2780136466026306,-0.6597049336880445,0.014375905,0.0003,860,0.13515625,-0.012046076370461378,0.2,0.005192662589251995,,
,,,,-165.58149999999998,180224,,0.06022758113103919,-0.18594789505004883,-0.6588259460404515,0.015434676,0.0003,870,0.128759765625,-0.011785160639556124,0.2,-0.05485035479068756,121.8,-439.83000000000004
88,84.39,-165.58149999999998,559,,180224,322,,,,,,,,,,,,
89,83.43,-161.272,559,-161.272,182272,325,0.06469888323335908,0.5699728727340698,-0.7939397640526294,0.019680887,0.0003,880,0.18134765625,-0.014495552293374203,0.2,0.02905917353928089,,
